source,unit_power_kw,hardware_mass_kg,deployment_mass_kg,capex_earth_M,annual_opex_M,lifetime_years,capacity_factor,notes,launch_cost_M,total_capex_M,lifetime_energy_MWh,lcoe_dollar_per_MWh,lcoe_dollar_per_kWh,scenario
Solar PV,50,2500,500,5,0.2,15,0.25,Dust losses and long nights keep the capacity factor low.,3.0,8.0,1642.5,6697.108066971081,6.697108066971081,"$1,000/kg"
Fission (Kilopower-class),40,1500,300,30,0.5,15,0.92,Modeled as a high availability baseload source.,1.8,31.8,4835.520000000001,8127.35755409966,8.12735755409966,"$1,000/kg"
CFS SPARC,50000,100000,20000,5000,50.0,30,0.8,Large tokamak concept with high mass and strong scale.,120.0,5120.0,10512000.0,629.7564687975647,0.6297564687975648,"$1,000/kg"
Princeton FRC,2500,5000,1000,500,10.0,20,0.75,Compact concept with midrange size and cost.,6.0,506.0,328500.0,2149.1628614916285,2.1491628614916287,"$1,000/kg"
Avalanche Orbitron,500,500,100,100,2.0,20,0.7,"Smallest concept, but still low TRL.",0.6,100.6,61320.0,2292.889758643183,2.292889758643183,"$1,000/kg"
Solar PV,50,2500,500,5,0.2,15,0.25,Dust losses and long nights keep the capacity factor low.,4.5,9.5,1642.5,7610.350076103501,7.610350076103501,"$1,500/kg"
Fission (Kilopower-class),40,1500,300,30,0.5,15,0.92,Modeled as a high availability baseload source.,2.7,32.7,4835.520000000001,8313.480246178278,8.313480246178278,"$1,500/kg"
CFS SPARC,50000,100000,20000,5000,50.0,30,0.8,Large tokamak concept with high mass and strong scale.,180.0,5180.0,10512000.0,635.4642313546423,0.6354642313546423,"$1,500/kg"
Princeton FRC,2500,5000,1000,500,10.0,20,0.75,Compact concept with midrange size and cost.,9.0,509.0,328500.0,2158.2952815829526,2.158295281582953,"$1,500/kg"
Avalanche Orbitron,500,500,100,100,2.0,20,0.7,"Smallest concept, but still low TRL.",0.9,100.9,61320.0,2297.78212654925,2.29778212654925,"$1,500/kg"
Solar PV,50,2500,500,5,0.2,15,0.25,Dust losses and long nights keep the capacity factor low.,6.0,11.0,1642.5,8523.592085235921,8.523592085235922,"$2,000/kg"
Fission (Kilopower-class),40,1500,300,30,0.5,15,0.92,Modeled as a high availability baseload source.,3.6,33.6,4835.520000000001,8499.602938256896,8.499602938256896,"$2,000/kg"
CFS SPARC,50000,100000,20000,5000,50.0,30,0.8,Large tokamak concept with high mass and strong scale.,240.0,5240.0,10512000.0,641.1719939117199,0.64117199391172,"$2,000/kg"
Princeton FRC,2500,5000,1000,500,10.0,20,0.75,Compact concept with midrange size and cost.,12.0,512.0,328500.0,2167.427701674277,2.1674277016742773,"$2,000/kg"
Avalanche Orbitron,500,500,100,100,2.0,20,0.7,"Smallest concept, but still low TRL.",1.2,101.2,61320.0,2302.6744944553166,2.3026744944553164,"$2,000/kg"
